  Device,  Company,  Year market release,  Number of EEG electrodes,  Electrode placement,  Reference location,  Accelerometer,  Gyroscope,  Bipolar ExG,  Aux,  Triggers,  Electrode type,  Electrode preamplification,  Electrode shielding,  Impedance check,  Input range (mVpp),  Input impedance (GΩ),  Input noise (μVrms),  CMRR (dB),  Bandwidth (Hz),  Sampling Rate (Hz),  Resolution (bits),  Least significant bit (μV/bit),  Size (mm),  Weight (g),  Battery (h),  Wireless Protocol,  Local storage / SD card,  Output format,  Real-time streaming,  Smartphone EEG,  CoME D: Device Mobility,  CoME S: System,  Medical certification,  Price Range (k€),  Website
B-Alert X10,Advanced Brain Monitoring,2010,9,Fixed,2M,Yes,No,1,0,-,Gel,Passive,Unshielded,Start,2,0.5,1.06,115,0.1-67,256,16,0.031,71x48x20,71,8,Bluetooth,No,.edf,SDK,Possible,4,9,No,8-10,https://www.advancedbrainmonitoring.com/products/b-alert-x-series
B-Alert X24,Advanced Brain Monitoring,2012,20,Fixed,2M,Yes,No,1,0,-,Gel,Passive,Unshielded,Start,2,0.5,1.06,115,0.1-67,256,16,0.031,71x48x20,71,8,Bluetooth,No,.edf,SDK,Possible,4,9,No,12-15,https://www.advancedbrainmonitoring.com/products/b-alert-x-series
Stat X-Series X24,Advanced Brain Monitoring,2020,20,Fixed,2M,Yes,No,1,-,-,Gel,Passive,Unshielded,Start,2,0.5,1.06,115,0.1-67,256,16,0.031,71x48x20,71,8,Bluetooth,No,.edf,SDK,Possible,4,9,Yes,12-15,https://www.advancedbrainmonitoring.com/products/stat-x-series-eeg
eego mini 24,ANT Neuro,2022,24,Flexible,"CPz/Cz,M",Yes,No,4,0,Yes (2-bit),"Dry, Wet, Gel",Passive,Shielded,Gel:Start / Dry:Continuous,1000-150,1,1,100,0-532,2048,24,0.009-0.060,115x90x20,100,usb,WiFi,No,".cnt, .asc, .eeg, .edf",LSL/SDK,Yes,4,14-12,Yes,-,https://www.ant-neuro.com/products/eego_24
eego mini 8,ANT Neuro,2016,8,Flexible,"CPz/Cz,M",Yes,No,0,0,Yes (2-bit),"Dry, Wet, Gel",Passive,Shielded,Gel:Start / Dry:Continuous,1000-150,1,1,100,0-532,2048,24,0.009-0.060,100x86x16,100,usb,WiFi,No,".cnt, .asc, .eeg, .edf",LSL/SDK,Yes,4,14-12,Yes,-,https://www.ant-neuro.com/products/eego_8
eego sports,ANT Neuro,2015,128/64/32,Flexible,"CPz/Cz,M",Yes,No,24,(16),Yes (8-bit),"Dry, Wet, Gel",Passive,Shielded,Gel:Start / Dry:Continuous,1000-150,1,1,100,0-532,2048,24,0.009-0.060,205x160x22,500,5,WiFi,No,".cnt, ..asc, .eeg, .edf",LSL/SDK,Yes,4,15-13,Yes,-,https://www.ant-neuro.com/products/eego_sports
Air,Bitbrain,2018,8,Fixed,E,Yes,Yes,0,1,Yes,Dry,Passive,Shielded,Continuous,200,50,0.7,100,0-40,256,24,0.012,210x165x55,212,8,Bluetooth,SD,.csv,LSL/SDK,In Beta,4,10,No,5,https://www.bitbrain.com/neurotechnology-products/dry-eeg/air
Diadem,Bitbrain,2016,12,Fixed,E,Yes,Yes,0,1,Yes,Dry,Passive,Shielded,Continuous,200,50,0.7,100,0-40,256,24,0.012,210x165x110,307,8,Bluetooth,SD,.csv,LSL/SDK,In Beta,4,10,No,13,https://www.bitbrain.com/neurotechnology-products/dry-eeg/diadem
Hero,Bitbrain,2022,9,Fixed,E,Yes,Yes,0,0,No,Dry,Passive,Shielded,Continuous,200,50,0.7,100,0-40,256,24,0.012,200x170x110,250,3,Bluetooth,SD,.csv,LSL/SDK,In Beta,4,10,No,13,https://www.bitbrain.com/neurotechnology-products/dry-eeg/hero
Neuroheadband,Bitbrain,2023,5,Fixed,E,Yes,Yes,0,0,No,Dry,Passive,Shielded,Continuous,200,50,0.7,100,0-40,256,24,0.012,25x77x40,100,8,BLE,No,.csv,LSL/SDK,In Beta,4,10,On going ,2-4,https://www.bitbrain.com/
Versatile EEG,Bitbrain,2017,64/32/16/8,Flexible,E,Yes,Yes,4/2/0/0,2/1/1/1,Yes,Wet,Passive,Shielded,Continuous,200,50,0.7,100,0-40/70,256,24,0.012,105x70x30,192/290/450,8,Bluetooth,SD,.csv,LSL/SDK,In Beta,4,11,No,26/14/9/4,https://www.bitbrain.com/neurotechnology-products/semi-dry-eeg/versatile-eeg
LiveAmp,Brain Products,2015,64/32/16/8,Flexible,Flex,Yes,No,8,8,Yes (8-/1-bit),"Dry, Wet, Gel",Active/Passive,Shielded,Start,683,0.2,0.7,80,65/131/262,1000/500/250,24,0.041,83x51x14,60,4/24,Prop,SD,.eeg,LSL/SDK/ TCP-IP,No,3,15-10,No,-,https://brainvision.com/products/liveamp-8-16-32
X.on,Brain Products,2022,7,Fixed,E,Yes,-,1,1,In-app,Wet,Passive,Unshielded,Start,625(BT5)/20(BLE),0.4,1,75,0.1-131,500/250/125,24(BT5)/ 16(BLE),0.037/0.298,200x190x130,120,5,"BLE, BT5",Phone,.eeg,LSL,Yes,4,11-7,No,2.5,https://xon-eeg.com
Mobile,CGX (Cognionics),2021,128/72,Flexible,-,Yes,No,0,0,Yes,Gel,Active,Unshielded,Continuous,1666,1000,1,120,131,500,24,0.099,200x190x180,1000,10-4,Bluetooth,SD,".bdf, .edf, .lay, .eeg, .csv",LSL,No,3,13,No,45-60,https://www.cgxsystems.com/products
Quick20r v2,CGX (Cognionics),2021,21,Fixed,E,Yes,No,2,-,Yes,Dry,Active,Shielded,Continuous,1666,1000,1,120,131,500,24,0.099,200x190x180,596,8,BLE,No,".bdf, .edf, .lay, .eeg, .csv",LSL,In Beta,4,12,No,20,https://www.cgxsystems.com/products
